word,bias,group
/c/en/abbess,,
/c/en/actress,,
/c/en/adulteress,,
/c/en/adventuress,,
/c/en/amazon,,
/c/en/ambassadress,,
/c/en/ancestress,,
/c/en/archduchess,,
/c/en/assemblywoman,,
/c/en/au_pair_girl,,
/c/en/aunt,0.009758737869560719,female
/c/en/authoress,,
/c/en/aviatrix,0.011691451072692871,female
/c/en/ayah,,
/c/en/b-girl,,
/c/en/bacchante,,
/c/en/bachelor_girl,,
/c/en/bag,0.46596759557724,female
/c/en/bag_lady,,
/c/en/baggage,,
/c/en/ball-buster,,
/c/en/ballerina,,
/c/en/ballet_mistress,,
/c/en/barmaid,,
/c/en/baroness,,
/c/en/beard,0.06809937953948975,female
/c/en/beggarwoman,,
/c/en/beguine,,
/c/en/begum,,
/c/en/beldam,,
/c/en/belle,,
/c/en/belly_dancer,,
/c/en/benefactress,,
/c/en/big_sister,,
/c/en/black_woman,,
/c/en/bluestocking,,
/c/en/bobbysoxer,,
/c/en/bondwoman,,
/c/en/bride,,
/c/en/bridesmaid,,
/c/en/broad,0.713361382484436,female
/c/en/brownie,,
/c/en/businesswoman,0.011573436670005322,female
/c/en/butch,,
/c/en/call_girl,,
/c/en/campfire_girl,,
/c/en/canary,,
/c/en/career_girl,,
/c/en/cat,0.015214098617434502,female
/c/en/chachka,,
/c/en/chambermaid,,
/c/en/charwoman,,
/c/en/chatelaine,,
/c/en/check_girl,,
/c/en/chorus_girl,,
/c/en/cinderella,,
/c/en/circe,,
/c/en/co-ed,,
/c/en/coiffeuse,,
/c/en/colleen,,
/c/en/coloratura,,
/c/en/comedienne,,
/c/en/comfort_woman,,
/c/en/committeewoman,,
/c/en/concubine,,
/c/en/conductress,,
/c/en/confidante,,
/c/en/contralto,,
/c/en/coquette,,
/c/en/cornishwoman,,
/c/en/councilwoman,,
/c/en/countess,,
/c/en/countrywoman,,
/c/en/cover_girl,,
/c/en/cow,,
/c/en/cowgirl,,
/c/en/crown_princess,,
/c/en/curandera,,
/c/en/czarina,,
/c/en/dairymaid,,
/c/en/dame,,
/c/en/damsel,,
/c/en/daughter,0.32088059186935425,female
/c/en/daughter-in-law,,
/c/en/daygirl,,
/c/en/deaconess,,
/c/en/debutante,,
/c/en/demimondaine,,
/c/en/den_mother,,
/c/en/divorcee,,
/c/en/donna,,
/c/en/doyenne,,
/c/en/dragon,,
/c/en/drum_majorette,,
/c/en/duchess,,
/c/en/duenna,,
/c/en/embroideress,,
/c/en/empress,,
/c/en/enchantress,,
/c/en/englishwoman,,
/c/en/enlisted_woman,,
/c/en/ex-wife,,
/c/en/executrix,,
/c/en/eyeful,,
/c/en/fairy_godmother,,
/c/en/farm_girl,,
/c/en/farmerette,,
/c/en/female,0.6936426162719727,female
/c/en/female_aristocrat,,
/c/en/female_child,,
/c/en/female_offspring,,
/c/en/female_sibling,,
/c/en/fiancee,,
/c/en/first_lady,,
/c/en/flapper,,
/c/en/flibbertigibbet,,
/c/en/flower_girl,,
/c/en/foremother,,
/c/en/forewoman,,
/c/en/foster-daughter,,
/c/en/foster-mother,,
/c/en/foster-nurse,,
/c/en/foster-sister,,
/c/en/foundress,,
/c/en/frontierswoman,,
/c/en/frump,,
/c/en/gal,,
/c/en/gamine,,
/c/en/geisha,,
/c/en/gibson_girl,,
/c/en/girl,0.7126798629760742,female
/c/en/girl_friday,,
/c/en/girl_scout,,
/c/en/girl_wonder,,
/c/en/girlfriend,0.04290630295872688,female
/c/en/gitana,,
/c/en/goddaughter,,
/c/en/godmother,,
/c/en/gold_digger,,
/c/en/golf_widow,,
/c/en/governess,,
/c/en/grand_duchess,,
/c/en/granddaughter,0.009774669073522091,female
/c/en/grande_dame,,
/c/en/granny,,
/c/en/gravida,,
/c/en/great_granddaughter,,
/c/en/great_grandmother,,
/c/en/great-aunt,,
/c/en/great-niece,,
/c/en/groupie,,
/c/en/hag,,
/c/en/half_sister,,
/c/en/handmaid,,
/c/en/harridan,,
/c/en/headmistress,,
/c/en/heiress,,
/c/en/her,0.7092977166175842,female
/c/en/heroine,,
/c/en/hers,,
/c/en/herself,,
/c/en/homegirl,,
/c/en/honest_woman,,
/c/en/horsewoman,,
/c/en/hostess,,
/c/en/housemother,,
/c/en/housewife,0.012521506287157536,female
/c/en/huntress,,
/c/en/idolatress,,
/c/en/inamorata,,
/c/en/ingenue,,
/c/en/instructress,,
/c/en/irishwoman,,
/c/en/jane_doe,,
/c/en/jewess,,
/c/en/jezebel,,
/c/en/jilt,,
/c/en/kinswoman,,
/c/en/ladies,,
/c/en/lady,0.7108995318412781,female
/c/en/lady's_maid,,
/c/en/ladylove,,
/c/en/landlady,,
/c/en/lass,,
/c/en/leading_lady,,
/c/en/light-o'-love,,
/c/en/little_sister,,
/c/en/lollipop_lady,,
/c/en/ma,,
/c/en/ma'am,,
/c/en/madam,,
/c/en/madame,,
/c/en/madwoman,,
/c/en/maenad,,
/c/en/maharani,,
/c/en/maid,,
/c/en/maiden_aunt,,
/c/en/mamma,,
/c/en/mammy,,
/c/en/manageress,,
/c/en/mannequin,,
/c/en/marchioness,,
/c/en/matriarch,,
/c/en/matron,,
/c/en/matron_of_honor,,
/c/en/may_queen,,
/c/en/mayoress,,
/c/en/mediatrix,,
/c/en/memsahib,,
/c/en/mestiza,,
/c/en/meter_maid,,
/c/en/midwife,,
/c/en/milady,,
/c/en/mill-girl,,
/c/en/millionairess,,
/c/en/miss,0.7133750915527344,female
/c/en/missus,,
/c/en/mistress,,
/c/en/mother,0.5459606647491455,female
/c/en/mother_figure,,
/c/en/mother_hen,,
/c/en/mother-in-law,,
/c/en/mother's_daughter,,
/c/en/mrs.,,
/c/en/ms.,,
/c/en/murderess,,
/c/en/muslimah,,
/c/en/nanny,,
/c/en/nautch_girl,,
/c/en/negotiatress,,
/c/en/negress,,
/c/en/newswoman,,
/c/en/niece,0.009774669073522091,female
/c/en/niqaabi,,
/c/en/nullipara,,
/c/en/nun,,
/c/en/nymph,,
/c/en/nymphet,,
/c/en/nymphomaniac,,
/c/en/oarswoman,,
/c/en/odalisque,,
